AGE,GENDER,CIVIL STATUS,NO DEPENDANTS,MOP,PORTFOLIO AT RISK,CYCLES,CURT/PDNP,BRANCH,YEARS BUS,HOME,YEARS HOME,CF TO LOAN,COLL TO LOAN,INDUSTRY,BUSINESS
43,FEMALE,SEPARATED,3,WALK-IN,"48,832.29",2,PDNP,PASIG,15.0,RENTED,6.0,1.69,0.603,WHOLESALE/RETAIL,KALAMANSI DEALER
33,FEMALE,MARRIED,4,PDC,"9,294.94",4,PDNP,PASIG,38.0,OWNED,31.0,3.57,0.401,WHOLESALE/RETAIL,GLASSWARE/PLASTIC WARE
36,FEMALE,MARRIED,3,PDC,"85,899.28",1,PDNP,PASIG,4.0,RENTED,5.0,1.3,1.0490000000000002,RETAIL,HARDWARE
37,FEMALE,MARRIED,3,WALK-IN,"12,448.24",8,PDNP,PASIG,20.0,RENTED,3.0,1.75,0.21,WHOLESALE/RETAIL,KALAMANSI DEALER
54,FEMALE,MARRIED,6,PDC,1.00,10,PDNP,PASIG,7.0,OWNED,20.0,1.07,0.75,WHOLESALE/RETAIL,SOFTDRINKS DEALER
22,MALE,SINGLE,2,PDC,1.00,3,PDNP,PASIG,5.0,SHARED/BORROWED,18.0,1.42,0.6,RETAIL,SOFTDRINKS DEALER
48,FEMALE,MARRIED,4,WALK-IN,"59,069.36",12,PDNP,PASIG,20.0,SHARED/BORROWED,20.0,2.5,,RETAIL,GLASSWARE/PLASTIC WARE
50,FEMALE,MARRIED,5,PDC,"52,360.34",13,PDNP,PASIG,14.0,RENTED,15.0,1.29,0.732,RETAIL,GLASSWARE/PLASTIC WARE
43,FEMALE,SEPARATED,2,PDC,"13,513.64",2,PDNP,PASIG,4.0,RENTED,5.0,1.21,0.909,RETAIL,FISH RETAIL
41,FEMALE,SINGLE,1,WALK-IN,"5,880.70",7,PDNP,PASIG,15.0,OWNED,24.0,1.63,0.573,SERVICES,CARINDERIA
52,MALE,MARRIED,6,PDC,1.00,4,PDNP,PASIG,19.0,OWNED,48.0,0.69,0.867,RETAIL,SHOES
46,FEMALE,SINGLE,2,PDC,"230,452.14",12,PDNP,PASIG,10.0,RENTED,6.0,2.09,,RETAIL,GLASSWARE/PLASTIC WARE
30,MALE,SINGLE,1,WALK-IN,"6,976.26",5,PDNP,PASIG,17.0,SHARED/BORROWED,17.0,1.38,0.65,MANUFACTURING/RETAIL,SARI SARI STORE/LONGGANISA MAKER
