AGE,GENDER,CIVIL STATUS,NO DEPENDANTS,MOP,PORTFOLIO AT RISK,CYCLES,CURT/PDNP,BRANCH,YEARS BUS,HOME,YEARS HOME,CF TO LOAN,COLL TO LOAN
33,MALE,SINGLE,2,PDC,0,6,CURT,Quezon City I,3.0,OWNED,9.0," 195,052.19 "," 150,000.00 "
33,FEMALE,SINGLE,2,WALK-IN," 26,500.30 ",2,PDNP,Cavite,3.0,RENTED,4.0," 108,204.85 "," 75,000.00 "
40,MALE,MARRIED,0,WALK-IN,0,4,CURT,Cavite,12.0,OWNED,38.0," 124,617.62 "," 300,000.00 "
26,FEMALE,SINGLE,1,WALK-IN," 1,896.39 ",2,PDNP,Past Due August 2016 to present-Inactive AO,4.0,RENTED,3.0,                               -  ,                               -  
44,MALE,MARRIED,0,WALK-IN," 43,807.19 ",6,PDNP,Cavite,21.0,OWNED,33.0," 393,462.25 "," 180,000.00 "
28,MALE,MARRIED,1,WALK-IN," 27,014.46 ",3,PDNP,Cavite,3.0,OWNED,22.0," 64,838.41 "," 52,000.00 "
37,FEMALE,MARRIED,3,WALK-IN,0,9,CURT,Cavite,6.0,OWNED,10.0," 347,877.28 "," 250,000.00 "
40,FEMALE,SINGLE,0,WALK-IN," 54,593.68 ",3,PDNP,Cavite,7.0,OWNED,10.0," 365,274.28 "," 180,000.00 "
34,MALE,SINGLE,4,WALK-IN,0,10,CURT,Cavite,5.0,BORROWED/SHARED,15.0," 172,311.43 ",                               -  
43,FEMALE,MARRIED,3,WALK-IN," 19,216.96 ",1,PDNP,Cavite,14.0,OWNED,14.0," 110,542.37 "," 140,000.00 "
56,FEMALE,MARRIED,0,WALK-IN," 13,129.32 ",2,PDNP,Cavite,7.0,OWNED,8.0," 85,326.42 "," 100,000.00 "
31,FEMALE,MARRIED,1,WALK-IN," 41,763.13 ",4,PDNP,Cavite,5.0,OWNED,5.0," 136,205.63 ",                               -  
35,MALE,MARRIED,4,PDC,0,14,CURT,Cavite,13.0,OWNED,13.0," 580,284.02 "," 200,000.00 "
