0,1,Target,AGE,GENDER,LOAN,LOAN OUTSTANDING,PORTFOLIO AT RISK,CURT/PDNP,CYCLE,BRANCH,INDUSTRY,BUSINESS,BUS. LOC. OWNERSHIP,YEARS,HOME YEARS,NUMBER OF DEPENDENTS,Cf to Loan,Coll 2 Loan,CF calc,Coll calc,CIVIL STATUS_MARRIED,CIVIL STATUS_NON-MARRIED,MOP_PDC,MOP_WALK-IN,HOME_NOT_OWNED,HOME_OWNED,2nd Review
0.17166388,0.8283361,1.0,57.0,1,30000.0,26486.0,0,0,2.0,SMB,SERVICES,OTHERS,OWNED,1,16.0,2.0,2.94,0.968,88180.0,29050.0,1,0,0,1,0,1,0.0
0.10207158,0.8979284,1.0,36.0,1,70000.0,36283.0,0,0,3.0,SMB,RETAIL,OTHERS,RENTED,1,3.0,2.0,1.35,1.527,94304.0,106906.0,1,0,0,1,0,1,0.0
0.11030555,0.88969445,1.0,51.0,1,130000.0,99266.0,0,0,2.0,SMB,RETAIL,OTHERS,RENTED,1,25.0,4.0,1.78,1.054,231951.0,137000.0,1,0,0,1,0,1,0.0
0.4395849,0.5604151,1.0,33.0,0,20000.0,13576.0,0,0,1.0,SMB,RETAIL,OTHERS,RENTED,1,33.0,1.0,2.41,1.19,48146.0,23800.0,1,0,1,0,1,0,0.0
0.073152065,0.92684793,1.0,55.0,1,50000.0,33941.0,0,0,1.0,SMB,RETAIL,OTHERS,RENTED,1,7.5,3.0,1.07,0.794,53414.0,39688.0,1,0,1,0,0,1,0.0
0.4795643,0.5204357,1.0,26.0,1,40000.0,40000.0,0,0,1.0,SMB,SERVICES,CARINDERIA,RENTED,0,3.0,2.0,1.29,1.04,51628.0,41587.0,0,1,1,0,0,1,1.0
0.12886453,0.8711355,1.0,53.0,1,30000.0,30000.0,0,0,1.0,SMB,SERVICES,OTHERS,RENTED,0,5.0,4.0,1.58,0.835,47473.0,25064.0,0,1,1,0,1,0,0.0
0.10669446,0.89330554,1.0,49.0,1,30000.0,30000.0,0,0,1.0,SMB,RETAIL,SARI SARI STORE,OWNED,1,24.0,0.0,1.67,1.5,50249.0,45000.0,1,0,1,0,0,1,0.0
0.89673775,0.10326227,0.0,50.0,1,53824.0,8560.0,8560,1,3.0,ANB,RETAIL,OTHERS,RENTED,1,29.0,3.0,1.77,0.673,95011.0,36200.0,0,1,1,0,0,1,0.0
0.89162683,0.10837317,0.0,40.0,1,25000.0,16569.0,16569,1,2.0,ANB,SERVICES,CARINDERIA,SHARED/BORROWED,1,6.0,2.0,1.04,0.2,25907.0,5000.0,1,0,1,0,1,0,0.0
0.3654331,0.6345669,0.0,51.0,1,30000.0,17779.0,17779,1,1.0,ANB,RETAIL,OTHERS,RENTED,0,25.0,1.0,1.13,1.32,33893.0,39600.0,0,1,1,0,1,0,0.0
0.6910832,0.30891684,0.0,63.0,1,100000.0,15813.0,15813,1,1.0,ANB,RETAIL,OTHERS,SHARED/BORROWED,0,31.0,1.0,1.56,0.856,156167.0,85600.0,0,1,1,0,1,0,0.0
0.7410189,0.25898114,0.0,57.0,1,60000.0,25070.0,25070,1,6.0,ANB,SERVICES,CARINDERIA,RENTED,0,26.0,1.0,1.25,0.377,75192.0,22600.0,0,1,1,0,0,1,0.0
0.8953414,0.10465859,0.0,35.0,1,60000.0,8462.0,8462,1,3.0,ANB,RETAIL,SARI SARI STORE,OWNED,0,6.0,0.0,1.55,0.592,92902.0,35500.0,1,0,1,0,0,1,0.0
0.9852432,0.014756789,0.0,47.0,1,80000.0,1375.0,1375,1,4.0,ANB,OTHERS,OTHERS,RENTED,1,44.0,2.0,1.19,0.913,95093.0,73000.0,1,0,1,0,0,1,0.0
0.75313705,0.24686293,0.0,40.0,0,150000.0,94217.0,94217,1,7.0,ANB,RETAIL,OTHERS,MORTGAGED,0,7.0,2.0,0.19,0.348,28540.0,52200.0,0,1,1,0,1,0,0.0
0.23041213,0.7695879,0.0,41.0,1,30000.0,17757.0,17757,1,1.0,ANB,RETAIL,OTHERS,RENTED,1,6.0,2.0,1.12,1.4,33597.0,42000.0,1,0,1,0,0,1,0.0
0.47678965,0.52321035,0.0,56.0,1,120000.0,62811.0,62811,1,9.0,ANB,RETAIL,OTHERS,RENTED,1,15.0,2.0,1.24,0.488,148852.0,58500.0,0,1,1,0,0,1,1.0
0.38196176,0.61803824,0.0,30.0,0,80000.0,47733.0,47733,1,1.0,ANB,RETAIL,OTHERS,RENTED,1,8.0,1.0,2.15,0.625,171848.0,50000.0,0,1,1,0,1,0,0.0
0.8914284,0.1085716,0.0,47.0,0,80000.0,10594.0,10594,1,8.0,ANB,RETAIL,OTHERS,OWNED,1,9.0,3.0,2.19,0.625,174984.0,50000.0,1,0,1,0,1,0,0.0
0.8474098,0.15259022,0.0,45.0,1,30000.0,4987.0,4987,1,1.0,ANB,SERVICES,OTHERS,OWNED,1,17.0,3.0,3.81,1.927,114275.0,57800.0,1,0,0,1,0,1,0.0
0.6439614,0.35603857,0.0,47.0,0,85000.0,27218.0,27218,1,2.0,ANB,MANUFACTURING,OTHERS,RENTED,0,8.0,1.0,1.33,0.894,112674.0,76000.0,0,1,1,0,1,0,0.0
0.4580487,0.5419513,0.0,51.0,0,100000.0,67882.0,67882,1,1.0,ANB,SERVICES,OTHERS,RENTED,1,10.0,3.0,1.59,0.81,159456.0,81000.0,0,1,0,1,1,0,0.0
0.47292328,0.5270767,1.0,39.0,1,170000.0,58758.0,0,0,5.0,ANB,WHOLESALE/RETAIL,RTW,RENTED,1,39.0,3.0,1.71,0.854,290779.0,145146.0,1,0,0,1,0,1,0.0
0.15257108,0.8474289,1.0,59.0,1,70000.0,27461.0,0,0,4.0,ANB,MANUFACTURING,RTW,RENTED,1,59.0,1.0,4.86,0.983,340235.0,68775.0,1,0,1,0,1,0,0.0
0.038814604,0.9611854,1.0,44.0,1,100000.0,100000.0,0,0,2.0,ANB,SERVICES,OTHERS,RENTED,0,20.0,3.0,3.44,1.542,343602.0,154200.0,1,0,0,1,0,1,0.0
0.20260125,0.79739875,0.0,45.0,1,150172.0,142598.0,142598,1,10.0,ANB,MANUFACTURING,OTHERS,OWNED,1,25.0,3.0,3.66,2.328,549596.0,349556.0,1,0,1,0,0,1,0.0
0.2485705,0.7514295,1.0,63.0,1,30000.0,15550.0,0,0,19.0,ANB,RETAIL,SARI SARI STORE,OWNED,1,38.0,1.0,1.47,0.5,44127.0,15000.0,0,1,1,0,0,1,0.0
0.9483462,0.051653802,0.0,40.0,1,29656.0,24656.0,24656,1,1.0,ANB,RETAIL,OTHERS,RENTED,1,33.0,3.0,9.02,4.653,267596.0,138000.0,1,0,1,0,1,0,0.0
0.09420425,0.90579575,1.0,50.0,1,70000.0,49218.0,0,0,10.0,ANB,RETAIL,SARI SARI STORE,OWNED,1,50.0,5.0,1.12,1.003,78286.0,70183.0,1,0,0,1,0,1,0.0
